"origin_fips","dest_fips","num_migrants"
96,0,5460987
97,0,5282519
98,0,178468
96,1,89395
97,1,87143
98,1,2252
1,1,3609606
13,1,15404
12,1,12305
47,1,6819
48,1,5751
28,1,5504
6,1,3107
37,1,3208
51,1,2669
22,1,2330
26,1,2295
39,1,2032
36,1,1980
17,1,1942
57,1,2252
21,1,1841
45,1,1826
18,1,1406
29,1,1238
8,1,1251
53,1,1202
42,1,972
4,1,1005
24,1,897
5,1,926
20,1,981
40,1,874
34,1,625
55,1,576
25,1,448
15,1,617
32,1,466
2,1,528
19,1,420
9,1,327
27,1,337
49,1,402
35,1,344
41,1,287
54,1,268
31,1,229
23,1,189
33,1,179
46,1,154
16,1,171
56,1,144
11,1,99
30,1,147
44,1,136
38,1,129
10,1,113
50,1,43
96,2,32657
97,2,31007
98,2,1650
2,2,518613
6,2,2959
53,2,2858
48,2,2506
41,2,1539
12,2,1607
57,2,1650
8,2,1153
4,2,965
13,2,1039
26,2,788
51,2,876
37,2,840
32,2,704
16,2,705
27,2,558
30,2,599
36,2,544
17,2,552
15,2,646
39,2,529
40,2,649
49,2,661
29,2,606
47,2,564
55,2,458
42,2,374
1,2,534
45,2,431
35,2,368
21,2,414
22,2,384
20,2,382
18,2,301
24,2,314
25,2,192
56,2,249
5,2,243
34,2,232
28,2,237
19,2,190
23,2,183
46,2,198
31,2,200
38,2,169
9,2,105
33,2,90
54,2,84
50,2,73
10,2,66
11,2,48
44,2,41
96,4,159212
97,4,155609
98,4,3603
4,4,4508213
6,4,30663
48,4,10302
53,4,7462
17,4,6518
8,4,6961
32,4,6526
35,4,6802
26,4,5445
12,4,5305
36,4,4509
39,4,4132
49,4,5229
41,4,3762
27,4,3082
42,4,2981
55,4,2938
57,4,3603
18,4,2856
37,4,2941
29,4,2632
51,4,2487
13,4,2699
34,4,1911
19,4,1867
16,4,2151
20,4,1810
47,4,1707
25,4,1403
40,4,1740
15,4,1411
31,4,1291
24,4,1314
30,4,1089
2,4,1233
21,4,1079
46,4,876
9,4,904
45,4,931
56,4,878
5,4,896
1,4,887
22,4,841
38,4,570
33,4,558
28,4,578
23,4,425
50,4,236
44,4,224
54,4,220
11,4,149
10,4,198
96,5,60987
97,5,60023
98,5,964
5,5,2135030
48,5,10511
29,5,5476
40,5,5479
6,5,3723
47,5,3450
12,5,2734
22,5,2653
17,5,2216
28,5,2006
13,5,1695
20,5,1345
37,5,1264
26,5,1216
4,5,1208
8,5,1194
18,5,956
39,5,896
57,5,964
1,5,967
51,5,840
36,5,725
55,5,747
53,5,687
27,5,609
19,5,624
21,5,610
45,5,550
42,5,543
32,5,524
31,5,494
35,5,430
34,5,366
41,5,380
24,5,363
49,5,364
2,5,278
25,5,222
15,5,276
56,5,202
16,5,213
9,5,176
30,5,165
46,5,132
54,5,107
33,5,75
38,5,83
11,5,54
23,5,48
10,5,51
50,5,48
44,5,48
96,6,384328
97,6,365763
98,6,18565
6,6,28448182
48,6,33914
4,6,29041
32,6,26057
53,6,24267
36,6,18681
12,6,18266
57,6,18565
17,6,14578
41,6,14185
8,6,13275
51,6,13228
25,6,8364
13,6,9891
37,6,10056
42,6,7560
15,6,8599
26,6,8047
34,6,7715
39,6,7365
49,6,9174
24,6,5663
29,6,5682
27,6,5203
47,6,5034
55,6,4324
18,6,4543
35,6,4119
16,6,4505
9,6,3421
40,6,4051
20,6,3356
45,6,3280
22,6,2831
19,6,2759
21,6,2435
1,6,2465
5,6,2414
2,6,2281
11,6,1510
30,6,1911
31,6,1985
28,6,1990
33,6,1210
23,6,1087
44,6,1106
56,6,1086
46,6,808
50,6,634
38,6,667
10,6,618
54,6,522
96,8,147455
97,8,142526
98,8,4929
8,8,3826019
6,8,17654
48,8,15832
12,8,7435
4,8,7794
17,8,4628
36,8,3867
35,8,4469
53,8,3927
57,8,4929
26,8,3409
20,8,3771
51,8,3734
32,8,3526
13,8,3708
56,8,3079
39,8,2972
29,8,3127
27,8,2689
37,8,3282
31,8,2832
49,8,3372
42,8,2429
55,8,2317
40,8,2808
41,8,2169
19,8,1923
47,8,2145
18,8,1892
25,8,1512
24,8,1679
34,8,1505
15,8,1721
30,8,1325
16,8,1450
45,8,1335
22,8,1321
21,8,1457
46,8,1023
1,8,1205
2,8,1088
5,8,968
9,8,738
38,8,583
33,8,454
28,8,571
23,8,405
50,8,343
11,8,312
54,8,279
44,8,260
10,8,202
96,9,56130
97,9,54324
98,9,1806
9,9,2789649
36,9,15468
25,9,5602
12,9,4923
34,9,2996
6,9,2734
42,9,1913
44,9,1714
51,9,1609
37,9,1536
57,9,1806
48,9,1429
13,9,1282
17,9,1045
39,9,841
24,9,862
33,9,736
45,9,865
23,9,650
26,9,719
4,9,592
53,9,691
8,9,495
50,9,423
18,9,408
47,9,419
27,9,350
55,9,355
29,9,322
11,9,226
32,9,279
19,9,220
41,9,228
15,9,282
1,9,224
21,9,205
49,9,254
22,9,184
10,9,160
35,9,137
40,9,130
20,9,141
28,9,123
31,9,111
54,9,94
5,9,75
2,9,65
16,9,70
30,9,43
56,9,42
46,9,37
38,9,15
96,10,24227
97,10,23739
98,10,488
10,10,693039
42,10,5971
24,10,4467
34,10,2757
36,10,1506
12,10,1254
51,10,1167
37,10,668
6,10,568
48,10,587
13,10,503
57,10,488
17,10,311
39,10,281
25,10,231
9,10,231
45,10,255
4,10,227
26,10,189
47,10,158
27,10,160
53,10,137
11,10,103
8,10,125
29,10,120
18,10,102
32,10,118
21,10,109
54,10,100
1,10,113
22,10,83
55,10,79
33,10,68
19,10,78
23,10,68
40,10,82
20,10,81
2,10,84
28,10,75
35,10,71
44,10,57
31,10,47
41,10,32
49,10,55
5,10,36
15,10,45
38,10,39
50,10,30
56,10,31
16,10,26
46,10,29
30,10,25
96,11,37593
97,11,36647
98,11,946
11,11,363059
24,11,12134
51,11,6650
36,11,2387
6,11,2092
25,11,1080
42,11,1078
12,11,1071
17,11,894
37,11,934
48,11,852
34,11,705
57,11,946
13,11,680
39,11,500
26,11,446
53,11,445
9,11,382
8,11,340
27,11,290
45,11,303
47,11,265
29,11,249
4,11,267
55,11,210
18,11,182
41,11,181
22,11,146
33,11,127
10,11,129
44,11,119
21,11,104
23,11,112
50,11,99
1,11,99
19,11,85
20,11,111
35,11,96
32,11,100
15,11,96
54,11,78
49,11,79
28,11,86
5,11,74
2,11,58
31,11,52
40,11,50
30,11,38
16,11,27
46,11,22
38,11,22
56,11,21
96,12,405424
97,12,389429
98,12,15995
12,12,13786030
36,12,40195
13,12,32264
48,12,21580
34,12,18496
6,12,17815
37,12,19050
42,12,17026
39,12,17147
51,12,17253
26,12,15354
17,12,14174
57,12,15995
25,12,12298
47,12,11554
1,12,10677
24,12,9593
18,12,9423
45,12,9201
9,12,8127
8,12,5872
21,12,5809
29,12,5624
4,12,5255
55,12,5166
53,12,5011
22,12,4509
23,12,4258
27,12,3845
32,12,3644
33,12,3557
28,12,3759
44,12,2961
20,12,2814
40,12,2775
5,12,2381
54,12,2075
19,12,2048
15,12,2079
35,12,1970
41,12,1687
49,12,1880
10,12,1518
31,12,1392
50,12,1194
2,12,1118
11,12,815
16,12,863
46,12,647
30,12,684
56,12,519
38,12,473
96,13,220432
97,13,213755
98,13,6677
13,13,7314324
12,13,35085
48,13,16649
1,13,13766
37,13,12458
36,13,11273
45,13,11556
47,13,11655
6,13,10378
51,13,8663
39,13,6556
17,13,6116
26,13,5887
57,13,6677
42,13,4935
34,13,5106
24,13,4154
22,13,3577
18,13,3138
21,13,3429
28,13,2988
8,13,2746
29,13,2690
53,13,2992
25,13,2348
4,13,2421
27,13,2298
9,13,1973
55,13,1756
20,13,1934
40,13,1695
15,13,1743
5,13,1335
32,13,1205
19,13,840
49,13,900
2,13,899
