"origin_fips","dest_fips","num_migrants","m_i","m_j","origin_lat","origin_lon","dest_lat","dest_lon","distance"
13,1,16672,9972479,4830081,33.75,-84.39,33.52,-86.81,140.406318027275
12,1,12339,19545621,4830081,30.33,-81.66,33.52,-86.81,373.933086744326
47,1,7097,6494340,4830081,36.15,-86.77,33.52,-86.81,181.309208643781
48,1,6997,26480266,4830081,29.73,-95.39,33.52,-86.81,568.950674567609
28,1,5857,2988711,4830081,32.31,-90.2,33.52,-86.81,213.94414460924
37,1,3513,9843336,4830081,35.21,-80.84,33.52,-86.81,360.496961818028
6,1,3255,38260787,4830081,34.05,-118.24,33.52,-86.81,1801.9814796342
51,1,2947,8252427,4830081,36.81,-76.12,33.52,-86.81,645.795828847297
22,1,2511,4624527,4830081,29.98,-90.03,33.52,-86.81,308.869144115519
39,1,2217,11576684,4830081,39.96,-82.99,33.52,-86.81,491.947192651864
36,1,1959,19624447,4830081,40.67,-73.98,33.52,-86.81,861.901651372482
17,1,2008,12895129,4830081,41.88,-87.63,33.52,-86.81,578.302189337886
26,1,1933,9913065,4830081,42.36,-83.08,33.52,-86.81,642.645996503772
45,1,1892,4764080,4830081,32.79,-79.94,33.52,-86.81,401.323999596243
21,1,1874,4404659,4830081,38.21,-85.65,33.52,-86.81,329.832212598417
18,1,1488,6568713,4830081,39.77,-86.15,33.52,-86.81,432.518343658294
8,1,1355,5269035,4830081,39.74,-104.99,33.52,-86.81,1095.02034006607
29,1,1266,6040715,4830081,39.03,-94.56,33.52,-86.81,575.387785230866
42,1,1057,12776309,4830081,39.96,-75.15,33.52,-86.81,783.73162477462
53,1,1303,6963985,4830081,47.6,-122.33,33.52,-86.81,2081.66835224925
5,1,1097,2959400,4830081,34.75,-92.29,33.52,-86.81,325.272652996714
4,1,938,6632764,4830081,33.45,-112.07,33.52,-86.81,1455.11359932862
24,1,951,5923188,4830081,39.31,-76.62,33.52,-86.81,693.44059268874
40,1,869,3853214,4830081,35.52,-97.5,33.52,-86.81,624.93323943931
34,1,649,8856972,4830081,40.74,-74.18,33.52,-86.81,855.418521420992
20,1,792,2893212,4830081,37.69,-97.33,33.52,-86.81,657.838960830043
15,1,825,1408243,4830081,21.3,-157.86,33.52,-86.81,4365.06982758836
55,1,540,5736754,4830081,43.04,-87.91,33.52,-86.81,659.329452339009
25,1,470,6713315,4830081,42.33,-71.08,33.52,-86.81,1049.68157107724
32,1,517,2775970,4830081,36.17,-115.19,33.52,-86.81,1617.37871214535
