"origin","origin_lon","origin_lat","dest","dest_lon","dest_lat","distance"
1,-86.81,33.52,1,-86.81,33.52,0
1,-86.81,33.52,2,-149.9,61.22,3341.0525437443
1,-86.81,33.52,4,-112.07,33.45,1455.11359932862
1,-86.81,33.52,5,-92.29,34.75,325.272652996714
1,-86.81,33.52,6,-118.24,34.05,1801.9814796342
1,-86.81,33.52,8,-104.99,39.74,1095.02034006607
1,-86.81,33.52,9,-73.19,41.18,915.443487208724
1,-86.81,33.52,10,-75.55,39.74,757.685049068829
1,-86.81,33.52,11,-77.03,38.89,659.494332391888
1,-86.81,33.52,12,-81.66,30.33,373.933086744326
1,-86.81,33.52,13,-84.39,33.75,140.406318027275
1,-86.81,33.52,15,-157.86,21.3,4365.06982758836
1,-86.81,33.52,16,-116.2,43.62,1725.46711497452
1,-86.81,33.52,17,-87.63,41.88,578.302189337886
1,-86.81,33.52,18,-86.15,39.77,432.518343658294
1,-86.81,33.52,19,-93.61,41.58,669.095511090468
1,-86.81,33.52,20,-97.33,37.69,657.838960830043
1,-86.81,33.52,21,-85.65,38.21,329.832212598417
1,-86.81,33.52,22,-90.03,29.98,308.869144115519
1,-86.81,33.52,23,-70.3,43.68,1132.03573343263
1,-86.81,33.52,24,-76.62,39.31,693.44059268874
1,-86.81,33.52,25,-71.08,42.33,1049.68157107724
1,-86.81,33.52,26,-83.08,42.36,642.645996503772
1,-86.81,33.52,27,-93.27,44.98,862.44142119129
1,-86.81,33.52,28,-90.2,32.31,213.94414460924
1,-86.81,33.52,29,-94.56,39.03,575.387785230866
1,-86.81,33.52,30,-108.52,45.79,1426.39628341128
1,-86.81,33.52,31,-96.02,41.26,735.16313044024
1,-86.81,33.52,32,-115.19,36.17,1617.37871214535
1,-86.81,33.52,33,-71.45,42.99,1057.51361841715
1,-86.81,33.52,34,-74.18,40.74,855.418521420992
1,-86.81,33.52,35,-106.66,35.1,1138.65347929325
1,-86.81,33.52,36,-73.98,40.67,861.901651372482
1,-86.81,33.52,37,-80.84,35.21,360.496961818028
1,-86.81,33.52,38,-96.81,46.89,1061.38510272291
